Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
24098-41077,PG,Sindarius,Sindarius Thornwell,Thornwell,8.778571538,56,3600,LAC@CHI,LAC,CHI,,
24098-14505,PF,Bismack,Bismack Biyombo,Biyombo,17.02238806,67,3600,ORL@SA,ORL,SA,,
24098-70827,C,Ivica,Ivica Zubac,Zubac,6.881481595,27,3600,DEN@LAL,LAL,DEN,,
24098-49336,SF,DeAndre',DeAndre' Bembry,Bembry,11.79523795,21,3600,OKC@ATL,ATL,OKC,O,Abdomen
24098-9940,SF,Dante,Dante Cunningham,Cunningham,13.57419315,62,3600,TOR@BKN,BKN,TOR,,
24098-81621,PF,Maxi,Maxi Kleber,Kleber,12.2448278,58,3600,DAL@NY,DAL,NY,,
24098-16604,SG,Justin,Justin Holiday,Holiday,24.88474494,59,3600,LAC@CHI,CHI,LAC,,
24098-15591,C,Miles,Miles Plumlee,Plumlee,12.12608669,46,3600,OKC@ATL,ATL,OKC,,
24098-40209,C,Joffrey,Joffrey Lauvergne,Lauvergne,9.96956535,46,3600,ORL@SA,SA,ORL,,
24098-20805,SG,Troy,Troy Daniels,Daniels,11.54179086,67,3600,CLE@PHO,PHO,CLE,,
24098-15691,C,Cody,Cody Zeller,Zeller,17.01515152,33,3600,CHA@NO,CHA,NO,GTD,Knee
24098-63826,C,Boban,Boban Marjanovic,Marjanovic,10.8192303,26,3600,LAC@CHI,LAC,CHI,,
24098-9605,PG,Ramon,Ramon Sessions,Sessions,10.19999981,16,3600,MIN@WAS,WAS,MIN,,
24098-9613,SG,Devin,Devin Harris,Harris,14.88214329,56,3600,DEN@LAL,DEN,LAL,,
24098-16298,PF,Travis,Travis Wear,Wear,9.880000305,5,3600,DEN@LAL,LAL,DEN,,
24098-9652,PG,Jameer,Jameer Nelson,Nelson,13.36938726,49,3600,DET@UTA,DET,UTA,,
24098-48567,PG,Cameron,Cameron Payne,Payne,18.94444444,9,3600,LAC@CHI,CHI,LAC,,
24098-17894,C,Mike,Mike Muscala,Muscala,15.35263222,38,3600,OKC@ATL,ATL,OKC,,
24098-16363,SF,Joe,Joe Harris,Harris,17.78153921,65,3600,TOR@BKN,BKN,TOR,,
24098-9713,PG,Jarrett,Jarrett Jack,Jack,20.22456226,57,3600,DAL@NY,NY,DAL,,
24098-66046,SG,Luke,Luke Kennard,Kennard,12.50701797,57,3600,DET@UTA,DET,UTA,,
24098-18435,PF,Alfonzo,Alfonzo McKinnie,McKinnie,2.36153852,13,3500,TOR@BKN,TOR,BKN,,
24098-16906,PG,Julyan,Julyan Stone,Stone,3.514285769,14,3500,CHA@NO,CHA,NO,,
24098-49675,PG,Derrick,Derrick White,White,6.688235115,17,3500,ORL@SA,SA,ORL,,
24098-66061,SF,Dwayne,Dwayne Bacon,Bacon,6.320929949,43,3500,CHA@NO,CHA,NO,,
24098-64017,C,Salah,Salah Mejri,Mejri,12.93157852,57,3500,DAL@NY,DAL,NY,GTD,Hamstring
24098-66064,SG,Malik,Malik Beasley,Beasley,6.342857361,56,3500,DEN@LAL,DEN,LAL,,
24098-59416,SF,John,John Holland,Holland,3.569230887,13,3500,CLE@PHO,CLE,PHO,,
24098-66091,PF,Cheick,Cheick Diallo,Diallo,9.968420731,38,3500,CHA@NO,NO,CHA,,
24098-12332,PG,John,John Wall,Wall,41.32162228,37,3500,MIN@WAS,WAS,MIN,O,Knee
24098-12339,C,Ekpe,Ekpe Udoh,Udoh,13.05000023,54,3500,DET@UTA,UTA,DET,,
24098-43064,PG,Kay,Kay Felder,Felder,6.6,15,3500,DET@UTA,DET,UTA,,
24098-12348,SF,Wesley,Wesley Johnson,Johnson,16.41525424,59,3500,LAC@CHI,LAC,CHI,,
24098-23612,SG,Marcus,Marcus Georges-Hunt,Georges-Hunt,2.107894697,38,3500,MIN@WAS,MIN,WAS,,
24098-12350,PF,Trevor,Trevor Booker,Booker,15.39999955,54,3500,IND@PHI,IND,PHI,,
24098-12354,C,Cole,Cole Aldrich,Aldrich,1.806666692,15,3500,MIN@WAS,MIN,WAS,,
24098-66114,PG,Antonio,Antonio Blakeney,Blakeney,10.34285736,14,3500,LAC@CHI,CHI,LAC,,
24098-23624,SF,Andrew,Andrew White,White,8.780000305,5,3500,OKC@ATL,ATL,OKC,,
24098-9804,C,Alexis,Alexis Ajinca,Ajinca,13.65128268,39,3500,CHA@NO,NO,CHA,O,Knee
24098-23119,PG,Rodney,Rodney Purvis,Purvis,5.349999905,2,3500,ORL@SA,ORL,SA,,
24098-23121,PF,Tyler,Tyler Cavanaugh,Cavanaugh,11.00999959,30,3500,OKC@ATL,ATL,OKC,GTD,Ankle
24098-9810,PG,Jerryd,Jerryd Bayless,Bayless,13.46153846,39,3500,IND@PHI,PHI,IND,,
24098-59483,PF,Chris,Chris McCullough,McCullough,5,19,3500,MIN@WAS,WAS,MIN,,
24098-15964,PG,Lorenzo,Lorenzo Brown,Brown,4.333333333,12,3500,TOR@BKN,TOR,BKN,,
24098-58461,PF,Trey,Trey Lyles,Lyles,20.44426189,61,3500,DEN@LAL,DEN,LAL,,
24098-58463,PG,Tyler,Tyler Ulis,Ulis,16.36140308,57,3500,CLE@PHO,PHO,CLE,,
24098-23648,SF,Erik,Erik McCree,McCree,0,3,3500,DET@UTA,UTA,DET,,
24098-43109,PF,Alec,Alec Peters,Peters,5.909090909,11,3500,CLE@PHO,PHO,CLE,,
24098-15975,SG,C.J.,C.J. Williams,Williams,12.73333333,30,3500,LAC@CHI,LAC,CHI,,
24098-23655,PG,Marcus,Marcus Paige,Paige,2.400000095,1,3500,CHA@NO,CHA,NO,,
24098-15469,PF,Quincy,Quincy Acy,Acy,12.75344849,58,3500,TOR@BKN,BKN,TOR,,
