"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24511-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","11.795237949916295","21","3500","PHI@ATL","ATL","PHI","O","Abdomen","",""
"24511-14521","PF","Kenneth","Kenneth Faried","Faried","14.081250190734863","32","3500","DEN@OKC","DEN","OKC","","","",""
"24511-14524","SF","MarShon","MarShon Brooks","Brooks","30.200000762939453","1","3500","MEM@UTA","MEM","UTA","","","",""
"24511-23744","SF","Justin","Justin Anderson","Anderson","11.130302660392992","33","3500","PHI@ATL","PHI","ATL","GTD","Ankle","",""
"24511-14532","SF","Kyle","Kyle Singler","Singler","3.1666666666666665","12","3500","DEN@OKC","OKC","DEN","","","",""
"24511-23248","SG","RJ","RJ Hunter","Hunter","1.7999999523162842","4","3500","PHO@HOU","HOU","PHO","","","",""
"24511-81623","SG","Kobi","Kobi Simmons","Simmons","10.704000244140625","25","3500","MEM@UTA","MEM","UTA","","","",""
"24511-14552","SG","DeAndre","DeAndre Liggins","Liggins","7.231481481481482","54","3500","NO@CLE","NO","CLE","","","",""
"24511-58081","PG","Tyus","Tyus Jones","Jones","13.974999678762336","76","3500","MIN@DAL","MIN","DAL","","","",""
"24511-23780","SF","Jake","Jake Layman","Layman","2.8933334350585938","30","3500","LAC@POR","POR","LAC","","","",""
"24511-15589","C","Marshall","Marshall Plumlee","Plumlee","5.171428680419922","7","3500","MIL@LAL","MIL","LAL","","","",""
"24511-15591","C","Miles","Miles Plumlee","Plumlee","11.791666666666666","48","3500","PHI@ATL","ATL","PHI","","","",""
"24511-9962","PF","Jonas","Jonas Jerebko","Jerebko","11.788059519298042","67","3500","MEM@UTA","UTA","MEM","","","",""
"24511-67312","C","Thomas","Thomas Bryant","Bryant","1.8363637057217685","11","3500","MIL@LAL","LAL","MIL","","","",""
"24511-23282","SF","Sam","Sam Dekker","Dekker","8.408823349896599","68","3500","LAC@POR","LAC","POR","","","",""
"24511-9465","PG","Raymond","Raymond Felton","Felton","14.69342041015625","76","3500","DEN@OKC","OKC","DEN","","","",""
"24511-23294","SG","Danuel","Danuel House","House","8.435293758616728","17","3500","PHO@HOU","PHO","HOU","","","",""
"24511-9475","PG","Derrick","Derrick Rose","Rose","13.123809814453125","21","3500","MIN@DAL","MIN","DAL","O","Ankle","",""
"24511-23300","SG","Charles","Charles Cooke","Cooke","1.0818181471391157","11","3500","NO@CLE","NO","CLE","","","",""
"24511-9479","SF","Luol","Luol Deng","Deng","5.5","1","3500","MIL@LAL","LAL","MIL","","","",""
"24511-40206","SG","Alex","Alex Abrines","Abrines","8.595714460100446","70","3500","DEN@OKC","OKC","DEN","","","",""
"24511-55055","PG","Dante","Dante Exum","Exum","12.214285714285714","7","3500","MEM@UTA","UTA","MEM","","","",""
"24511-18704","PG","David","David Stockton","Stockton","1","1","3500","MEM@UTA","UTA","MEM","","","",""
"24511-40208","PG","Raul","Raul Neto","Neto","9.138461381961138","39","3500","MEM@UTA","UTA","MEM","O","Wrist","",""
"24511-71467","PG","Malcolm","Malcolm Delaney","Delaney","14.064814814814815","54","3500","PHI@ATL","ATL","PHI","GTD","Ankle","",""
"24511-15669","C","Meyers","Meyers Leonard","Leonard","6.517857142857143","28","3500","LAC@POR","POR","LAC","","","",""
"24511-20277","SF","Torrey","Torrey Craig","Craig","10.728124618530273","32","3500","DEN@OKC","DEN","OKC","","","",""
"24511-41269","PG","Demetrius","Demetrius Jackson","Jackson","3.528571537562779","14","3500","PHI@ATL","PHI","ATL","","","",""
"24511-42805","SG","Kyle","Kyle Collinsworth","Collinsworth","10.133333559389468","27","3500","MIN@DAL","DAL","MIN","","","",""
"24511-16188","SF","Anthony","Anthony Brown","Brown","9.690908952192826","11","3500","MIN@DAL","MIN","DAL","","","",""
"24511-9534","PG","Aaron","Aaron Brooks","Brooks","3.717241484543373","29","3500","MIN@DAL","MIN","DAL","","","",""
"24511-16191","SF","Josh","Josh Huestis","Huestis","7.972727457682292","66","3500","DEN@OKC","OKC","DEN","","","",""
